age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
36,technician,married,professional.course,0,1,0,telephone,232,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,services,married,high.school,0,1,1,telephone,370,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,management,married,basic.9y,0,0,1,telephone,46,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,married,high.school,0,0,1,telephone,50,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,married,high.school,0,0,1,telephone,181,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,technician,married,high.school,0,0,0,telephone,361,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,admin.,divorced,basic.9y,0,0,0,telephone,73,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,admin.,married,university.degree,0,0,0,telephone,67,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
27,blue-collar,single,basic.6y,0,0,0,telephone,350,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,self-employed,single,university.degree,0,1,0,telephone,150,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,management,divorced,university.degree,0,0,0,telephone,611,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
47,management,divorced,university.degree,0,0,0,telephone,89,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,admin.,single,high.school,0,0,0,telephone,611,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,services,married,high.school,0,0,0,telephone,962,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
47,technician,single,basic.9y,0,0,0,telephone,10,4,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
51,retired,married,professional.course,0,0,0,telephone,118,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
47,blue-collar,married,basic.6y,0,0,0,telephone,92,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,technician,married,basic.4y,0,1,0,telephone,143,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,admin.,married,basic.9y,0,0,0,telephone,189,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,married,basic.9y,0,1,0,telephone,75,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,blue-collar,divorced,basic.9y,0,1,0,telephone,189,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,blue-collar,divorced,basic.6y,0,0,0,telephone,55,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
39,housemaid,married,basic.9y,0,1,0,telephone,935,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,1
37,admin.,single,high.school,0,1,1,telephone,56,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,services,married,high.school,0,0,0,telephone,225,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,management,divorced,university.degree,0,1,0,telephone,125,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
31,admin.,married,high.school,0,1,1,telephone,286,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,blue-collar,married,basic.4y,0,1,0,telephone,164,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,technician,single,professional.course,0,1,0,telephone,98,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
47,self-employed,married,professional.course,0,0,0,telephone,446,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,blue-collar,divorced,high.school,0,0,1,telephone,742,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,admin.,married,university.degree,0,1,0,telephone,120,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,services,divorced,high.school,0,0,0,telephone,122,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,admin.,married,high.school,0,1,0,telephone,248,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,housemaid,divorced,basic.4y,0,1,1,telephone,205,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,admin.,married,university.degree,0,1,0,telephone,261,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,blue-collar,married,basic.4y,0,1,0,telephone,83,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,management,divorced,university.degree,0,1,0,telephone,106,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
27,admin.,single,university.degree,0,0,0,telephone,106,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,admin.,married,high.school,0,0,0,telephone,108,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,divorced,high.school,0,0,0,telephone,364,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,retired,married,basic.6y,0,0,0,telephone,136,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,blue-collar,married,basic.9y,0,0,0,telephone,173,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,services,married,high.school,0,1,0,telephone,241,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,management,single,basic.9y,0,1,0,telephone,224,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,admin.,single,basic.6y,0,1,1,telephone,148,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
54,technician,married,professional.course,0,1,1,telephone,196,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
40,housemaid,single,professional.course,0,0,0,telephone,111,4,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
26,admin.,single,university.degree,0,1,0,telephone,231,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,married,high.school,0,0,0,telephone,316,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,admin.,married,high.school,0,0,0,telephone,669,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
29,services,single,high.school,0,1,0,telephone,425,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,married,basic.9y,0,1,0,telephone,121,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
35,management,married,high.school,0,1,0,telephone,174,5,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
50,self-employed,single,university.degree,0,0,1,telephone,88,5,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,entrepreneur,married,high.school,0,1,0,telephone,135,4,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,single,high.school,0,1,1,telephone,402,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,services,single,high.school,0,1,0,telephone,158,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,admin.,married,basic.9y,0,0,0,telephone,220,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
58,blue-collar,divorced,basic.4y,0,1,0,telephone,254,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,technician,married,high.school,0,1,0,telephone,503,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
50,services,divorced,professional.course,0,0,0,telephone,680,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,entrepreneur,married,university.degree,0,1,0,telephone,130,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,blue-collar,married,basic.4y,0,0,0,telephone,164,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
55,technician,married,professional.course,0,0,0,telephone,113,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,management,married,university.degree,0,0,0,telephone,195,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,services,married,high.school,0,1,0,telephone,347,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
53,admin.,married,university.degree,0,1,0,telephone,208,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,unemployed,single,university.degree,0,0,0,telephone,404,4,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,blue-collar,single,high.school,0,0,0,telephone,396,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
32,blue-collar,married,basic.9y,0,0,0,telephone,98,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,services,married,basic.4y,0,0,0,telephone,229,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
58,entrepreneur,married,basic.4y,0,1,0,telephone,350,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,management,married,university.degree,0,1,0,telephone,379,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,technician,married,high.school,0,1,0,telephone,168,3,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
46,admin.,married,university.degree,0,1,0,telephone,158,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,technician,married,university.degree,0,0,0,telephone,210,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,self-employed,married,high.school,0,1,0,telephone,102,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
57,admin.,divorced,basic.9y,0,0,0,telephone,306,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
56,management,divorced,high.school,0,0,0,telephone,218,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,blue-collar,married,basic.9y,0,0,0,telephone,77,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
37,blue-collar,married,basic.9y,0,0,1,telephone,54,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
46,admin.,single,high.school,0,1,0,telephone,344,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
22,blue-collar,single,basic.9y,0,1,0,telephone,195,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
43,services,married,high.school,0,0,0,telephone,202,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,technician,married,basic.6y,0,1,0,telephone,278,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
38,admin.,single,university.degree,0,0,0,telephone,189,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,married,basic.9y,0,0,0,telephone,83,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
49,admin.,married,university.degree,0,1,1,telephone,18,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
33,admin.,married,basic.9y,0,1,0,telephone,235,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
34,management,single,university.degree,0,0,0,telephone,290,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,self-employed,married,university.degree,0,0,0,telephone,402,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
44,services,married,high.school,0,1,0,telephone,1030,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,1
35,admin.,married,university.degree,0,0,0,telephone,144,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,admin.,married,high.school,0,0,0,telephone,69,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
45,admin.,married,basic.9y,0,0,0,telephone,243,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
36,technician,married,professional.course,0,0,0,telephone,769,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
29,blue-collar,divorced,basic.4y,0,0,0,telephone,231,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
41,self-employed,married,university.degree,0,1,1,telephone,442,2,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,services,single,high.school,0,0,0,telephone,455,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
42,entrepreneur,married,university.degree,0,1,0,telephone,154,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
52,services,divorced,basic.6y,0,0,0,telephone,393,1,999,0,nonexistent,93.994,-36.4,4.857,5191.0,0
